population,fit,lwr,upr
1e3,0.6837785625285652,-1.3824020311923713,2.749959156249502
2e3,0.6914665533310351,-1.3747128181140884,2.757645924776159
3e3,0.6991545441335051,-1.3670236162167893,2.765332704483799
4e3,0.706842534935975,-1.3593344255004918,2.773019495372442
5e3,0.714530525738445,-1.3516452459652162,2.7807062974421064
6e3,0.722218516540915,-1.3439560776109822,2.7883931106928124
7e3,0.7299065073433849,-1.3362669204378097,2.7960799351245793
8e3,0.7375944981458549,-1.3285777744457157,2.8037667707374254
9e3,0.7452824889483248,-1.32088863963472,2.81145361753137
1e4,0.7529704797507948,-1.3131995160048413,2.8191404755064307
11e3,0.7606584705532649,-1.305510403556098,2.826827344662628
12e3,0.7683464613557347,-1.297821302288508,2.8345142249999773
13e3,0.7760344521582048,-1.290132212202089,2.8422011165184986
14e3,0.7837224429606747,-1.2824431332968595,2.8498880192182092
15e3,0.7914104337631447,-1.2747540655728378,2.8575749330991274
16e3,0.7990984245656146,-1.2670650090300395,2.8652618581612685
17e3,0.8067864153680846,-1.2593759636684831,2.8729487944046523
18e3,0.8144744061705546,-1.2516869294881858,2.880635741829295
19e3,0.8221623969730245,-1.2439979064891642,2.8883227004352134
2e4,0.8298503877754945,-1.2363088946714353,2.896009670222424
21e3,0.8375383785779644,-1.228619894035015,2.903696651190944
22e3,0.8452263693804344,-1.2209309045799204,2.9113836433407894
23e3,0.8529143601829043,-1.2132419263061685,2.919070646671977
24e3,0.8606023509853743,-1.2055529592137733,2.9267576611845216
25e3,0.8682903417878443,-1.197864003302752,2.9344446868784404
26e3,0.8759783325903142,-1.1901750585731201,2.9421317237537488
27e3,0.8836663233927842,-1.1824861250248924,2.9498187718104605
28e3,0.8913543141952541,-1.1747972026580857,2.9575058310485938
29e3,0.8990423049977241,-1.1671082914727133,2.9651929014681615
3e4,0.906730295800194,-1.1594193914687914,2.9728799830691797
31e3,0.914418286602664,-1.1517305026463347,2.9805670758516625
32e3,0.9221062774051341,-1.144041625005357,2.988254179815625
33e3,0.9297942682076039,-1.1363527585458737,2.9959412949610815
34e3,0.937482259010074,-1.1286639032678982,3.003628421288046
35e3,0.9451702498125438,-1.120975059171445,3.0113155587965323
36e3,0.9528582406150139,-1.1132862262565275,3.019002707486555
37e3,0.9605462314174837,-1.1055974045231598,3.0266898673581273
38e3,0.9682342222199538,-1.097908593971355,3.0343770384112627
39e3,0.9759222130224237,-1.0902197946011272,3.0420642206459743
4e4,0.9836102038248937,-1.0825310064124885,3.0497514140622757
41e3,0.9912981946273637,-1.0748422294054527,3.05743861866018
42e3,0.9989861854298336,-1.0671534635800315,3.0651258344396988
43e3,1.0066741762323037,-1.0594647089362388,3.072813061400846
44e3,1.0143621670347736,-1.0517759654740864,3.0805002995436332
45e3,1.0220501578372434,-1.0440872331935864,3.0881875488680732
46e3,1.0297381486397135,-1.0363985120947512,3.095874809374178
47e3,1.0374261394421835,-1.0287098021775916,3.1035620810619586
48e3,1.0451141302446534,-1.0210211034421206,3.111249363931427
49e3,1.0528021210471232,-1.0133324158883497,3.118936657982596
5e4,1.0604901118495933,-1.0056437395162887,3.1266239632154753
51e3,1.0681781026520634,-0.99795507432595,3.1343112796300767
52e3,1.0758660934545332,-0.9902664203173448,3.1419986072264114
53e3,1.0835540842570033,-0.982577777490482,3.149685946004489
54e3,1.0912420750594731,-0.974889145845375,3.1573732959643213
55e3,1.0989300658619432,-0.9672005253820322,3.1650606571059186
56e3,1.106618056664413,-0.9595119161004642,3.1727480294292905
57e3,1.114306047466883,-0.9518233180006808,3.1804354129344468
58e3,1.121994038269353,-0.9441347310826926,3.1881228076213985
59e3,1.129682029071823,-0.9364461553465091,3.195810213490155
6e4,1.1373700198742929,-0.9287575907921395,3.203497630540725
61e3,1.145058010676763,-0.9210690374195936,3.211185058773119
62e3,1.1527460014792328,-0.9133804952288798,3.2188724981873453
63e3,1.1604339922817029,-0.905691964220007,3.2265599487834127
64e3,1.168121983084173,-0.8980034443929847,3.2342474105613306
65e3,1.1758099738866428,-0.8903149357478213,3.2419348835211066
66e3,1.1834979646891126,-0.8826264382845252,3.2496223676627505
67e3,1.1911859554915827,-0.8749379520031044,3.25730986298627
68e3,1.1988739462940528,-0.867249476903567,3.2649973694916725
69e3,1.2065619370965226,-0.8595610129859208,3.2726848871789658
7e4,1.2142499278989924,-0.851872560250174,3.280372416048159
71e3,1.2219379187014625,-0.8441841186963335,3.2880599560992585
72e3,1.2296259095039326,-0.8364956883244061,3.2957475073322713
73e3,1.2373139003064024,-0.8288072691344006,3.3034350697472057
74e3,1.2450018911088723,-0.8211188611263229,3.3111226433440675
75e3,1.2526898819113423,-0.8134304643001795,3.318810228122864
76e3,1.2603778727138124,-0.8057420786559777,3.3264978240836025
77e3,1.2680658635162823,-0.7980537041937235,3.334185431226288
78e3,1.275753854318752,-0.7903653409134228,3.341873049550927
79e3,1.2834418451212222,-0.7826769888150826,3.349560679057527
8e4,1.2911298359236922,-0.774988647898708,3.3572483197460925
81e3,1.2988178267261623,-0.7673003181643048,3.3649359716166294
82e3,1.3065058175286322,-0.7596119996118789,3.372623634669143
83e3,1.314193808331102,-0.7519236922414354,3.3803113089036394
84e3,1.321881799133572,-0.7442353960529791,3.387998994320123
85e3,1.3295697899360421,-0.7365471110465154,3.3956866909185996
86e3,1.337257780738512,-0.7288588372220486,3.4033743986990723
87e3,1.3449457715409818,-0.7211705745795838,3.4110621176615474
88e3,1.352633762343452,-0.7134823231191252,3.418749847806029
89e3,1.360321753145922,-0.705794082840677,3.426437589132521
9e4,1.3680097439483918,-0.6981058537442435,3.4341253416410273
91e3,1.3756977347508617,-0.6904176358298284,3.4418131053315517
92e3,1.3833857255533317,-0.6827294290974355,3.449500880204099
93e3,1.3910737163558018,-0.6750412335470677,3.4571886662586713
94e3,1.3987617071582716,-0.6673530491787292,3.4648764634952727
95e3,1.4064496979607415,-0.6596648759924224,3.4725642719139054
96e3,1.4141376887632116,-0.6519767139881507,3.480252091514574
97e3,1.4218256795656816,-0.644288563165917,3.4879399222972802
98e3,1.4295136703681515,-0.6366004235257232,3.495627764262026
99e3,1.4372016611706213,-0.6289122950675727,3.5033156174088154
1e5,1.4448896519730914,-0.6212241777914671,3.51100348173765
101e3,1.4525776427755615,-0.6135360716974079,3.5186913572485308
102e3,1.4602656335780313,-0.6058479767853988,3.526379243941461
103e3,1.4679536243805011,-0.5981598930554397,3.534067141816442
104e3,1.4756416151829712,-0.5904718205075326,3.541755050873475
105e3,1.4833296059854413,-0.5827837591416793,3.549442971112562
106e3,1.4910175967879113,-0.5750957089578805,3.5571309025337032
107e3,1.4987055875903812,-0.5674076699561372,3.5648188451369
108e3,1.506393578392851,-0.5597196421364505,3.5725067989221526
109e3,1.514081569195321,-0.5520316254988207,3.580194763889463
11e4,1.5217695599977912,-0.5443436200432479,3.5878827400388302
111e3,1.529457550800261,-0.5366556257697337,3.595570727370256
112e3,1.5371455416027309,-0.5289676426782761,3.603258725883738
113e3,1.544833532405201,-0.5212796707688763,3.610946735579278
114e3,1.552521523207671,-0.5135917100415339,3.618634756456876
115e3,1.5602095140101409,-0.5059037604962484,3.6263227885165303
116e3,1.5678975048126107,-0.49821582213301907,3.6340108317582405
117e3,1.5755854956150808,-0.4905278949518448,3.6416988861820063
118e3,1.5832734864175508,-0.4828399789527249,3.6493869517878266
119e3,1.5909614772200207,-0.47515207413565785,3.657075028575699
12e4,1.5986494680224905,-0.46746418050064253,3.6647631165456236
121e3,1.6063374588249606,-0.4597762980476765,3.6724512156975977
122e3,1.6140254496274307,-0.45208842677675953,3.680139326031621
123e3,1.6217134404299005,-0.4444005666878883,3.687827447547689
124e3,1.6294014312323704,-0.43671271778106213,3.695515580245803
125e3,1.6370894220348404,-0.42902488005627726,3.703203724125958
126e3,1.6447774128373105,-0.4213370535135317,3.7108918791881527
127e3,1.6524654036397803,-0.4136492381528234,3.7185800454323843
128e3,1.6601533944422504,-0.4059614339741484,3.726268222858649
129e3,1.6678413852447203,-0.39827364097750495,3.7339564114669455
13e4,1.6755293760471903,-0.3905858591628881,3.7416446112572688
